Timestamp,Are you a student or staff? ,"If you are a student, which batch are you from?",Gender,1. What is the type of beverage that you consume daily other than water? ,2. What is your favorite type of beverage? ,3. How often do you drink your favorite beverage?,"4. What is the beverage brand that vKirirom doesn't have and you recommend them to sell? (Ex. Monster, Dutch Milk, . . .)","How much are you willing to spend on your favorite beverage per day? (Input as Cambodia Currency, Riel)"
1/15/2021 15:32:37,Student,Batch 8,Female,Energy Drinks,Energy Drinks,Everyday,No,2500
1/15/2021 17:22:08,Student,Batch 6,Male,Coffee,Water,Once in more than one month,Pocari sweat ,4000
1/15/2021 17:23:34,Student,Batch 8,Male,Energy Drinks,Water,Everyday,None,4000
1/15/2021 17:26:12,Student,Batch 6,Male,Juice,Juice,Once in a few days,Dutch Milk,3000
1/15/2021 17:27:23,Student,Batch 6,Male,Coffee,Coffee,Everyday,Coffee can,2500
1/15/2021 17:28:23,Student,Batch 6,Male,Coffee,Coffee,Everyday,Gatorades,4000
1/15/2021 17:28:40,Student,Batch 4,Male,Energy Drinks,Energy Drinks,Everyday,All kind of Energy drink(e.g. Champion),2500
1/15/2021 17:30:26,Student,Batch 8,Male,Coffee,Coffee,Everyday,Sting,5000
1/15/2021 17:32:09,Student,Batch 6,Male,Carbonated Drinks,Carbonated Drinks,Everyday,Milk,4000
1/15/2021 17:55:24,Student,Batch 8,Male,Juice,Water,Once in a month,Dutch milk,500
1/15/2021 19:57:31,Student,Batch 6,Male,none,Water,Everyday,Milk,4000
1/15/2021 20:50:17,Student,Batch 8,Male,milk,Juice,Once in a few days,milk,4000
1/15/2021 20:56:46,Student,Batch 4,Male,Coffee,Energy Drinks,Once in a few days,All,4000
1/15/2021 21:09:05,Student,Batch 4,Male,Coffee,Coffee,Everyday,Instant Coffee Can,6000
1/15/2021 21:13:39,Student,Batch 4,Male,Energy Drinks,Energy Drinks,Everyday,coffee,5000
1/16/2021 9:03:49,Staff,,Female,Tea,Water,Everyday,Home made fruit shakes or smoothies,0
1/16/2021 9:08:44,Student,Batch 8,Female,Juice,Juice,Once a week,"Juices, alovera",6000
1/16/2021 9:09:46,Student,Batch 8,Female,Energy Drinks,Energy Drinks,Once in a few days,Milk,4000
1/16/2021 9:11:39,Student,Batch 8,Male,Juice,Water,Once a week,Milk,5000
1/16/2021 9:12:59,Student,Batch 8,Male,Milk,Milk,Once in a few days,Dutch Milk,5000
1/16/2021 9:13:01,Student,Batch 8,Male,Coffee,Water,Once in a few days,yogurt,4000
1/16/2021 9:13:44,Student,Batch 8,Male,Juice,Water,Once in a month,Aquarius,3000
1/16/2021 9:13:47,Student,Batch 8,Male,Milk,Milk,Everyday,Dutch Milk,3000
1/16/2021 9:13:49,Student,Batch 8,Male,milk,Water,Once a week,Dutch milk,2500
1/16/2021 9:14:46,Student,Batch 8,Male,Coffee,Coffee,Everyday,Dutch Milk,4000
1/16/2021 9:16:26,Student,Batch 8,Male,Coffee,milk ,Once in a month,Whatever milk ,2500
1/16/2021 9:16:48,Student,Batch 8,Male,Coffee,Coffee,Everyday,Coffee Cappuccino frappe,4000
1/17/2021 14:27:35,Student,Batch 6,Male,Coffee,Coffee,Everyday,Nefcafé Can,5000
1/18/2021 8:36:24,Student,Batch 6,Female,Coffee,Coffee,Once in a few days,Dutch Milk,5000
1/18/2021 10:05:10,Student,TM 1,Female,Juice,Juice,Once a week,Green tea ,10000
1/18/2021 10:07:44,Student,Batch 6,Male,Coffee,Carbonated Drinks,Everyday,Matcha ,20000
1/18/2021 10:08:38,Student,Batch 7,Male,Energy Drinks,Energy Drinks,Everyday,Fresh juice,40000
1/18/2021 10:58:38,Student,TM 2,Female,Juice,Juice,Once in a few days,Dutch milk,3000
1/18/2021 11:01:58,Student,Batch 6,Male,Energy Drinks,Energy Drinks,Once in a few days,"Champion Ice, Monster,...",5000
1/18/2021 11:03:53,Student,Batch 6,Male,Carbonated Drinks,Carbonated Drinks,Once in a few days,Coca-cola cafe,2500
1/18/2021 11:04:15,Student,Batch 6,Male,Carbonated Drinks,Carbonated Drinks,Once a week,Pepsi,4000
